agegroup,infection,par_id,cumul_mean_incid,sum_abs_diff,sum_rel_diff
3,1,17224,43577,67,0.0015
3,2,17224,137482,144,0.001
3,3,17224,133196,131,0.001
4,1,17224,14836,25,0.0017
4,2,17224,113924,139,0.0012
4,3,17224,185557,206,0.0011
5,1,17224,4539,8,0.0018
5,2,17224,126050,163,0.0013
5,3,17224,457109,543,0.0012
6,1,17224,629,1,0.0019
6,2,17224,66582,89,0.0013
6,3,17224,503305,608,0.0012
7,1,17224,76,0,0.0022
7,2,17224,34006,45,0.0013
7,3,17224,498119,574,0.0012
8,1,17224,9,0,0.0022
8,2,17224,32120,41,0.0013
8,3,17224,4822233,5356,0.0011
9,1,17224,0,0,NA
9,2,17224,3456,129,0.0372
9,3,17224,5598977,5557,0.001
10,1,17224,5,3,0.6578
10,2,17224,6432,2278,0.3541
10,3,17224,2439160,3139,0.0013
11,1,17224,425,180,0.4239
11,2,17224,36657,9161,0.2499
11,3,17224,1168312,6191,0.0053
1,1,17237,424416,357,8e-4
1,2,17237,137830,85,6e-4
1,3,17237,39169,23,6e-4
2,1,17237,116535,159,0.0014
